,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
142,Heavy Feeling,Sister Song,Perfume Genius,Put Your Back N 2 It,0,2012-02-20,146213
143,Heavy Feeling,Can't Go Back Now,The Weepies,Hideaway,0,2008,137880
144,Heavy Feeling,Can't Go Back Now,Deb Talan,Hideaway,0,2008,137880
145,Heavy Feeling,Can't Go Back Now,Steve Tannen,Hideaway,0,2008,137880
146,Heavy Feeling,"Keep It Loose, Keep It Tight",Amos Lee,Amos Lee,57,2005-01-01,188080
147,Heavy Feeling,Sleeping Sickness,City and Colour,Sleeping Sickness,0,2007-01-01,250120
148,Heavy Feeling,To Build A Home (feat. Patrick Watson),The Cinematic Orchestra,Ma Fleur,0,2007-06-05,370666
149,Heavy Feeling,Asleep - 2008 Remaster,The Smiths,The Sound of the Smiths (Deluxe; 2008 Remaster),44,2008-11-11,250280
150,Heavy Feeling,Benedictus,2CELLOS,In2ition,41,2013-01-11,400426
151,Heavy Feeling,Fuck Feelings,Born Ruffians,RUFF (Deluxe Version),0,2016-04-22,207733
152,Heavy Feeling,I Miss You,blink-182,blink-182,71,2003-01-01,227240
153,Heavy Feeling,Creep,Radiohead,Pablo Honey,2,1993-02-22,238640
154,Heavy Feeling,Hurt,Johnny Cash,American IV: The Man Comes Around,74,2002-01-01,216533
155,Re-education pt. 1,Cue 1,Madlib,The Beats (Our Vinyl Weighs a Ton Soundtrack),0,2014-09-09,73835
156,Re-education pt. 1,So Far To Go,J Dilla,The Shining,0,2012-03-12,336813
157,Re-education pt. 1,So Far To Go,Common,The Shining,0,2012-03-12,336813
158,Re-education pt. 1,So Far To Go,D'Angelo,The Shining,0,2012-03-12,336813
159,Re-education pt. 1,Fall in Love,Slum Village,Fantastic Vol. 2.10,0,2010-01-12,235200
160,Re-education pt. 1,Mathematics,Mos Def,Black On Both Sides,61,1999-10-12,246440
161,Re-education pt. 1,I Can,Nas,God's Son,58,2002-12-13,253720
162,Re-education pt. 1,The World Is Yours,Nas,Illmatic,68,1994-04-19,290573
163,Re-education pt. 1,Never Catch Me,Flying Lotus,You're Dead!,56,2014-10-06,234486
164,Re-education pt. 1,Never Catch Me,Kendrick Lamar,You're Dead!,56,2014-10-06,234486
165,Re-education pt. 1,MmmHmm,Flying Lotus,Cosmogramma,40,2010-05-03,254840
166,Re-education pt. 1,MmmHmm,Thundercat,Cosmogramma,40,2010-05-03,254840
167,Re-education pt. 1,Nothing Like This,J Dilla,Ruff Draft,0,2007-03-20,153666
168,Re-education pt. 1,You Got Me,The Roots,Things Fall Apart,65,1999-02-23,259306
169,Re-education pt. 1,You Got Me,Tariq Trotter,Things Fall Apart,65,1999-02-23,259306
170,Re-education pt. 1,You Got Me,Erykah Badu,Things Fall Apart,65,1999-02-23,259306
171,Re-education pt. 1,You Got Me,Eve,Things Fall Apart,65,1999-02-23,259306
172,Re-education pt. 1,A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",56,2000-07-18,280973
173,Re-education pt. 1,Gettin' In the Way,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",43,2000-07-18,236493
174,Re-education pt. 1,He Loves Me (Lyzel in E Flat),Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",52,2000-07-18,285746
175,Re-education pt. 1,Nothing Even Matters,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,0,1998-08-25,350533
176,Re-education pt. 1,Nothing Even Matters,D'Angelo,The Miseducation of Lauryn Hill,0,1998-08-25,350533
177,Re-education pt. 1,Doo Wop (That Thing),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,0,1998-08-25,320266
178,Re-education pt. 1,Baby,J Dilla,The Shining - The 10th Anniversary Collection,0,2016-08-19,208320
179,Re-education pt. 1,Baby,Madlib,The Shining - The 10th Anniversary Collection,0,2016-08-19,208320
180,Re-education pt. 1,Baby,Guilty Simpson,The Shining - The 10th Anniversary Collection,0,2016-08-19,208320
181,Re-education pt. 1,Ms. Fat Booty,Mos Def,Black On Both Sides,70,1999-10-12,223546
182,Re-education pt. 1,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,112,112,63,1996-08-27,289413
183,Re-education pt. 1,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,The Notorious B.I.G.,112,63,1996-08-27,289413
184,Re-education pt. 1,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,Mase,112,63,1996-08-27,289413
185,Re-education pt. 2,Distant Land,Madlib,Shades Of Blue: Madlib Invades Blue Note,0,2003,238506
186,Re-education pt. 2,Am I Confused?,Quasimoto,"Yessir, Whatever",0,2013-06-18,173106
187,Re-education pt. 2,Low Class Conspiracy,Quasimoto,The Unseen,0,2000-07-01,146200
188,Re-education pt. 2,We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,52,2016-11-11,172013
189,Re-education pt. 2,Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),69,1990-04-17,251573
190,Re-education pt. 3,Born Under A Bad Sign,Albert King,King Of The Blues Guitar,0,1969-06-15,167040
191,Re-education pt. 3,"Damn Right, I've Got the Blues",Buddy Guy,Buddy's Baddest: The Best Of Buddy Guy,25,1999-06-01,271826
192,Re-education pt. 3,What Kind Of Woman Is This?,Buddy Guy,Bring 'Em In,41,2005-11-11,317320
193,Re-education pt. 3,"Sweet Little Angel - Live At The Regal Theater, Chicago, 1964",B.B. King,Live At The Regal,35,1965,249640
194,Re-education pt. 3,Lucille,B.B. King,Lucille,48,1968-01-01,616560
195,Re-education pt. 3,Going Down,Freddie King,Getting Ready... (World),61,1971,204333
196,Re-education pt. 3,Sweet Home Chicago,Freddie King,Are You Ready For Freddie?,3,2006-08-24,362266
197,Re-education pt. 3,Johnny B. Goode,Chuck Berry,Johnny B. Goode/His Complete `50s Chess Recordings,0,2007-01-01,159426
198,Re-education pt. 3,Cross Road Blues,Robert Johnson,King Of The Delta Blues Singers,51,1937,149560
199,Re-education pt. 3,"Worry, Worry",B.B. King,Live At The Regal,28,1965,383333
200,Re-education pt. 3,Call It Stormy Monday,Albert King,In Session,0,1999,540573
201,Re-education pt. 3,Call It Stormy Monday,Stevie Ray Vaughan,In Session,0,1999,540573
202,Re-education pt. 3,Laundromat Blues,Albert King,King Of The Blues Guitar,0,1969-06-15,186253
203,Re-education pt. 3,I Can't Quit You Baby,Otis Rush,An Introduction To Otis Rush,37,1956,219559
204,Re-education pt. 3,That's All I Need,Magic Sam,West Side Soul (Deluxe Edition),38,1967,198466
205,Re-education pt. 3,That's All I Need,Mighty Joe Young,West Side Soul (Deluxe Edition),38,1967,198466
206,Re-education pt. 3,That's All I Need,Stockholm Slim,West Side Soul (Deluxe Edition),38,1967,198466
207,Re-education pt. 3,That's All I Need,Mack Thompson,West Side Soul (Deluxe Edition),38,1967,198466
208,Re-education pt. 3,That's All I Need,Odie Payne III,West Side Soul (Deluxe Edition),38,1967,198466
209,Re-education pt. 3,All Your Love,Magic Sam,The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961,47,2001,176186
210,Re-education pt. 3,Mannish Boy,Muddy Waters,Anthology,0,2014-11-21,178133
211,Re-education pt. 3,You Can't Lose What You Ain't Never Had,Muddy Waters,Anthology,0,2014-11-21,174866
212,Re-education pt. 3,My Babe - Single Version,Little Walter,His Best,0,1997-01-01,164373
213,Re-education pt. 3,Dead Presidents,Little Walter,The Essential Little Walter,0,1993-01-01,172973
214,Re-education pt. 3,Blue And Lonesome,Little Walter,The Essential Little Walter,0,1993-01-01,175706
215,Re-education pt. 3,Me And My Chauffeur Blues,Memphis Minnie,Memphis Minnie Vol. 5 (1940-1941),23,1991,169404
216,Re-education pt. 3,When The Levee Breaks,Memphis Minnie,The Roots of Led Zeppelin,0,2008-01-01,191425
217,Re-education pt. 3,Cigarettes and Coffee,Otis Redding,The Soul Album,60,1966-04-01,240800
218,Re-education pt. 3,"It's A Man's, Man's, Man's World",James Brown,20 All-Time Greatest Hits!,0,1991,167066
219,Re-education pt. 4,Un-Break My Heart,Toni Braxton,The Essential Toni Braxton,0,2007-02-12,270773
