,Unnamed: 0,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
127,127,looking for a savior,Human,Jon Bellion,The Definition,47,2014,205268
128,128,looking for a savior,World Spins Madly On,The Weepies,Say I Am You,0,2006,165133
129,129,looking for a savior,World Spins Madly On,Deb Talan,Say I Am You,0,2006,165133
130,130,looking for a savior,World Spins Madly On,Steve Tannen,Say I Am You,0,2006,165133
131,131,looking for a savior,Shine,Leon Bridges,Coming Home (Deluxe),46,2015,217493
132,132,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,Coloring Book,48,2016,337423
133,133,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),Jay Electronica,Coloring Book,48,2016,337423
134,134,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),My cousin Nicole,Coloring Book,48,2016,337423
135,135,Heavy Feeling,Holocene,Bon Iver,Bon Iver,1,2011,336613
136,136,Heavy Feeling,Blindsided,Bon Iver,"For Emma, Forever Ago",0,2008,329266
137,137,Heavy Feeling,Smother,Daughter,If You Leave,0,2013,240560
138,138,Heavy Feeling,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),66,2013,266906
139,139,Heavy Feeling,We Don't Eat,James Vincent McMorrow,Early In The Morning,0,2010,293800
140,140,Heavy Feeling,Higher Love,James Vincent McMorrow,We Don't Eat EP,0,2012,214786
141,141,Heavy Feeling,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,0,2011,173080
142,142,Heavy Feeling,Sister Song,Perfume Genius,Put Your Back N 2 It,0,2012,146213
143,143,Heavy Feeling,Can't Go Back Now,The Weepies,Hideaway,0,2008,137880
144,144,Heavy Feeling,Can't Go Back Now,Deb Talan,Hideaway,0,2008,137880
145,145,Heavy Feeling,Can't Go Back Now,Steve Tannen,Hideaway,0,2008,137880
146,146,Heavy Feeling,"Keep It Loose, Keep It Tight",Amos Lee,Amos Lee,57,2005,188080
